number_of_images,model,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
10,yolov8n,2024-05-24T15:25:20,codecarbon,ed96a97d-a092-45e2-82ad-2d2df29990ed,456.670072555542,0.0163322582733598,3.57638024799041E-05,42.5,95.179,93.879976272583,0.0053910092338919,0.0134519092303598,0.0119003295415908,0.0307432480058426,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8n,2024-05-24T15:38:23,codecarbon,ed96a97d-a092-45e2-82ad-2d2df29990ed,1239.74390721321,0.0163322582733598,1.31738967849197E-05,42.5,95.179,93.879976272583,0.0053910092338919,0.0134519092303598,0.0119003295415908,0.0307432480058426,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8n,2024-05-24T15:53:49,codecarbon,ed96a97d-a092-45e2-82ad-2d2df29990ed,2165.98528981209,0.0163322582733598,7.54033665426085E-06,42.5,95.179,93.879976272583,0.0053910092338919,0.0134519092303598,0.0119003295415908,0.0307432480058426,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8n,2024-05-24T16:12:15,codecarbon,ed96a97d-a092-45e2-82ad-2d2df29990ed,3272.30593395233,0.0163322582733598,4.99105481058539E-06,42.5,95.179,93.879976272583,0.0053910092338919,0.0134519092303598,0.0119003295415908,0.0307432480058426,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
10,yolov8s,2024-05-24T16:22:48,codecarbon,9a13c870-7c25-4a56-87f0-e8e86418d832,503.781061887741,8.09095863017137E-05,1.60604660283445E-07,42.5,99.135,93.879976272583,0.005946037482553,0.0149745920861186,0.0131147699513173,0.034035399519989,Canada,CAN,quebec,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,-71.2,46.8,250.346603393555,machine,N
20,yolov8s,2024-05-24T16:36:30,codecarbon,9a13c870-7c25-4a56-87f0-e8e86418d832,1325.65843486786,8.09095863017137E-05,6.10335092159533E-08,42.5,99.135,93.879976272583,0.005946037482553,0.0149745920861186,0.0131147699513173,0.034035399519989,Canada,CAN,quebec,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,-71.2,46.8,250.346603393555,machine,N
50,yolov8s,2024-05-24T16:54:44,codecarbon,9a13c870-7c25-4a56-87f0-e8e86418d832,2420.3881611824,8.09095863017137E-05,3.34283515344034E-08,42.5,99.135,93.879976272583,0.005946037482553,0.0149745920861186,0.0131147699513173,0.034035399519989,Canada,CAN,quebec,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,-71.2,46.8,250.346603393555,machine,N
100,yolov8s,2024-05-24T17:15:53,codecarbon,9a13c870-7c25-4a56-87f0-e8e86418d832,3688.71406245232,8.09095863017137E-05,2.19343611166011E-08,42.5,99.135,93.879976272583,0.005946037482553,0.0149745920861186,0.0131147699513173,0.034035399519989,Canada,CAN,quebec,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,-71.2,46.8,250.346603393555,machine,N
10,yolov8m,2024-05-24T17:27:51,codecarbon,613e36c8-6de5-41ef-95a9-3989439882fa,540.806924819946,0.0216022163562458,3.99444152151675E-05,42.5,98.506,93.879976272583,0.006383989363412,0.0201912616361959,0.014087974122126,0.040663225121734,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
20,yolov8m,2024-05-24T17:43:42,codecarbon,613e36c8-6de5-41ef-95a9-3989439882fa,1491.53831839561,0.0216022163562458,1.44831789366849E-05,42.5,98.506,93.879976272583,0.006383989363412,0.0201912616361959,0.014087974122126,0.040663225121734,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
50,yolov8m,2024-05-24T18:03:32,codecarbon,613e36c8-6de5-41ef-95a9-3989439882fa,2681.6202712059,0.0216022163562458,8.05565821089632E-06,42.5,98.506,93.879976272583,0.006383989363412,0.0201912616361959,0.014087974122126,0.040663225121734,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
100,yolov8m,2024-05-24T18:28:48,codecarbon,613e36c8-6de5-41ef-95a9-3989439882fa,4197.72647762299,0.0216022163562458,5.14617054527058E-06,42.5,98.506,93.879976272583,0.006383989363412,0.0201912616361959,0.014087974122126,0.040663225121734,Australia,AUS,new south wales,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,151.1905,-33.8445,250.346603393555,machine,N
10,yolov8l,2024-05-24T19:23:20,codecarbon,9ecbb115-b448-4ede-a239-0667f67fcc0d,643.329003572464,0.0001184371080402,1.84100370700719E-07,42.5,97.655,93.879976272583,0.0075938581842515,0.0254710027599642,0.016756853322236,0.0498217142664518,Canada,CAN,quebec,,,Linux-5.19.0-1010-nvidia-lowlatency-x86_64-with-glibc2.35,3.10.13,2.2.2,56,Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,1,1 x NVIDIA RTX A6000,-71.2,46.8,250.346603393555,machine,N
