Date,Latitude,Longitude,Subsite,SamplingLocationID,SamplingMethod,Status,DateClosed,DataManager
24/02/2021,-35.9816782,149.5910353,Badja,Bad001,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.98844281,149.5995952,Badja,Bad002,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.98912954,149.6109677,Badja,Bad003,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.98636016,149.6213832,Badja,Bad004,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.97694653,149.5813653,Badja,Bad005,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.98313766,149.5741403,Badja,Bad006,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.99130088,149.5565962,Badja,Bad007,Trail,Active,,NPWS Pest Monitoring
24/02/2021,-35.99979149,149.5586606,Badja,Bad008,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.97873439,149.5250048,Badja,Bad009,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.9699906,149.531115,Badja,Bad010,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.96127836,149.5288828,Badja,Bad011,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.95608745,149.5368549,Badja,Bad012,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.97859148,149.5093983,Badja,Bad013,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.98713327,149.5047621,Badja,Bad014,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.99806784,149.4999882,Badja,Bad015,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.9630091,149.5168043,Badja,Bad016,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.9474792,149.5112824,Badja,Bad017,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.94376383,149.5017805,Badja,Bad018,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.93324316,149.5025564,Badja,Bad019,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.93077364,149.5181743,Badja,Bad020,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.91932551,149.5168924,Badja,Bad021,Trail,Active,,NPWS Pest Monitoring
25/02/2021,-35.91878195,149.5212313,Badja,Bad022,Trail,Closed,11/05/2021,NPWS Pest Monitoring
25/02/2021,-35.90872006,149.5165417,Badja,Bad023,Trail,Active,,NPWS Pest Monitoring
26/02/2021,-35.96123122,149.5585978,Badja,Bad024,Trail,Active,,NPWS Pest Monitoring
26/02/2021,-35.95177056,149.5536732,Badja,Bad025,Trail,Closed,,NPWS Pest Monitoring
26/02/2021,-35.94259774,149.5518462,Badja,Bad026,Trail,Closed,,NPWS Pest Monitoring
26/02/2021,-36.00454826,149.5420646,Badja,Bad027,Trail,Active,,NPWS Pest Monitoring
26/02/2021,-36.00943516,149.5300979,Badja,Bad028,Trail,Active,,NPWS Pest Monitoring
26/05/2020,-29.33677316,152.9390114,Banyabba,BN026,Trail,Active,,NPWS Pest Monitoring
26/05/2020,-29.34656259,152.9444325,Banyabba,BN027,Trail,Active,,NPWS Pest Monitoring
26/05/2020,-29.35565381,152.9462433,Banyabba,BN028,Trail,Active,,NPWS Pest Monitoring
26/05/2020,-29.36435169,152.953025,Banyabba,BN029,Trail,Active,,NPWS Pest Monitoring
26/05/2020,-29.37551297,152.964639,Banyabba,BN030,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.3938931,152.8851617,Banyabba,BN001,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.38384656,152.8793618,Banyabba,BN002,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.37638738,152.8727277,Banyabba,BN003,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.36764312,152.8647835,Banyabba,BN004,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.35640365,152.8597942,Banyabba,BN005,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.34793042,152.8541312,Banyabba,BN006,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.33931882,152.8488787,Banyabba,BN007,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.32992595,152.8411927,Banyabba,BN008,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.32009101,152.8400345,Banyabba,BN009,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.32103833,152.8501927,Banyabba,BN010,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.31265198,152.8586792,Banyabba,BN011,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.31029403,152.8732962,Banyabba,BN012,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.31299897,152.885439,Banyabba,BN013,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.3209733,152.8964265,Banyabba,BN014,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.38406835,152.9252241,Banyabba,BN015,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.37277354,152.9148838,Banyabba,BN016,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.37042674,152.9024097,Banyabba,BN017,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.35698135,152.9013259,Banyabba,BN018,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.34669503,152.8975092,Banyabba,BN019,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.33779583,152.9031988,Banyabba,BN020,Trail,Active,,NPWS Pest Monitoring
27/05/2020,-29.33001341,152.9003058,Banyabba,BN021,Trail,Active,,NPWS Pest Monitoring
28/05/2020,-29.31424034,152.9081637,Banyabba,BN022,Trail,Active,,NPWS Pest Monitoring
28/05/2020,-29.31317031,152.9210923,Banyabba,BN023,Trail,Active,,NPWS Pest Monitoring
28/05/2020,-29.32009145,152.9313299,Banyabba,BN024,Trail,Active,,NPWS Pest Monitoring
28/05/2020,-29.32720963,152.9388647,Banyabba,BN025,Trail,Active,,NPWS Pest Monitoring
14/08/2019,-31.65370582,151.5268137,Barnard River Trail,BRT001,Trail,Active,,NPWS Pest Monitoring
14/08/2019,-31.65322587,151.5322104,Barnard River Trail,BRT002,Trail,Active,,NPWS Pest Monitoring
14/08/2019,-31.6500125,151.5385037,Barnard River Trail,BRT003,Trail,Active,,NPWS Pest Monitoring
14/08/2019,-31.64798696,151.5462615,Barnard River Trail,BRT004,Trail,Active,,NPWS Pest Monitoring
14/08/2019,-31.64513098,151.5511414,Barnard River Trail,BRT005,Trail,Active,,NPWS Pest Monitoring
14/08/2019,-31.64580629,151.5593739,Barnard River Trail,BRT006,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.65129263,151.5737408,Barnard River Trail,BRT007,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.64580175,151.5836955,Barnard River Trail,BRT008,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.65116885,151.5881226,Barnard River Trail,BRT009,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.65052333,151.5958206,Barnard River Trail,BRT010,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.6502728,151.6025635,Barnard River Trail,BRT011,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.65442995,151.6077693,Barnard River Trail,BRT012,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.66004045,151.6123825,Barnard River Trail,BRT013,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.66009715,151.6174622,Barnard River Trail,BRT014,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.66170949,151.6238935,Barnard River Trail,BRT015,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.65544681,151.6303931,Barnard River Trail,BRT016,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.6549783,151.6434992,Barnard River Trail,BRT017,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.64922056,151.647949,Barnard River Trail,BRT018,Trail,Closed,7/04/2020,NPWS Pest Monitoring
15/08/2019,-31.66586947,151.6181836,Barnard River Trail,BRT019,Trail,Active,,NPWS Pest Monitoring
15/08/2019,-31.64079825,151.5603007,Barnard River Trail,BRT020,Trail,Active,,NPWS Pest Monitoring
7/04/2020,-31.648556,151.564425,Barnard River Trail,BRT021,Trail,Active,,NPWS Pest Monitoring
1/09/2020,-31.64380602,151.5748891,Barnard River Trail,BRT022,Trail,Active,,NPWS Pest Monitoring
1/09/2020,-31.63578806,151.5773169,Barnard River Trail,BRT023,Trail,Active,,NPWS Pest Monitoring
1/09/2020,-31.63175535,151.5836946,Barnard River Trail,BRT024,Trail,Active,,NPWS Pest Monitoring
1/09/2020,-31.64039135,151.5902404,Barnard River Trail,BRT025,Trail,Active,,NPWS Pest Monitoring
1/09/2020,-31.6425572,151.6011413,Barnard River Trail,BRT026,Trail,Active,,NPWS Pest Monitoring
1/09/2020,-31.64684961,151.6127769,Barnard River Trail,BRT027,Trail,Closed,,NPWS Pest Monitoring
1/09/2020,-31.63448832,151.5660087,Barnard River Trail,BRT028,Trail,Active,,NPWS Pest Monitoring
20/05/2021,-31.64686373,151.6110003,Barnard River Trail,BRT030,Trail,Active,,NPWS Pest Monitoring
5/03/2021,-29.62152037,152.1876987,Barool Trail,BL001,Trail,Closed,,NPWS Pest Monitoring
5/03/2021,-29.626647,152.2027767,Barool Trail,BL002,Trail,Active,,NPWS Pest Monitoring
5/03/2021,-29.61597428,152.2047576,Barool Trail,BL003,Trail,Active,,NPWS Pest Monitoring
5/03/2021,-29.62287908,152.2193676,Barool Trail,BL004,Trail,Closed,,NPWS Pest Monitoring
5/03/2021,-29.62350709,152.231401,Barool Trail,BL005,Trail,Active,,NPWS Pest Monitoring
5/03/2021,-29.61533595,152.2399476,Barool Trail,BL006,Trail,Active,,NPWS Pest Monitoring
