                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1617,                 3.6705,                   1.26,                 0.4014,                0.55268,                   0.47,                0.33567,                0.98796,                 1.8228,                 1.1255,              0.0033143,              0.0033143,              0.0033143
                      2,                 1.0513,                 2.3881,                 1.1633,                0.46401,                0.49989,                0.47789,                0.31752,                  1.149,                 2.0061,                 1.2554,              0.0065818,              0.0065818,              0.0065818
                      3,                 1.1241,                 2.0999,                 1.2017,                0.19365,                0.36435,                0.19138,                0.10717,                 1.3349,                 3.4333,                 1.3804,              0.0097833,              0.0097833,              0.0097833
                      4,                 1.1945,                 1.8542,                 1.2432,                0.36559,                0.43445,                0.36861,                0.23094,                 1.3339,                 2.5263,                 1.4083,               0.009703,               0.009703,               0.009703
                      5,                  1.109,                 1.5232,                 1.2012,                0.64732,                0.57114,                0.63324,                  0.437,                 1.1057,                 1.5384,                 1.2136,               0.009604,               0.009604,               0.009604
                      6,                 1.0523,                 1.3423,                 1.1705,                0.61724,                 0.5944,                0.63223,                0.42174,                 1.2076,                 1.5007,                 1.3245,               0.009505,               0.009505,               0.009505
                      7,                 1.0192,                 1.2173,                 1.1512,                0.65071,                0.52856,                0.61346,                0.42312,                 1.1607,                 1.5789,                 1.2757,               0.009406,               0.009406,               0.009406
                      8,                0.97312,                 1.1474,                 1.1297,                 0.5393,                0.55645,                0.55396,                0.36615,                 1.2672,                 1.8314,                 1.3797,               0.009307,               0.009307,               0.009307
                      9,                0.95832,                 1.0949,                  1.121,                0.69513,                0.68645,                0.75685,                0.55709,                0.92845,                 1.0997,                 1.1144,               0.009208,               0.009208,               0.009208
                     10,                0.93586,                 1.0321,                 1.1099,                0.78096,                0.77331,                0.84361,                0.64423,                0.83212,                0.89798,                 1.0641,               0.009109,               0.009109,               0.009109
