                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.45544,                0.27195,                0.88085,                0.98217,                0.98929,                0.99331,                 0.9313,                0.39794,                0.23717,                0.83344,              0.0033143,              0.0033143,              0.0033143
                      2,                0.48749,                0.30979,                 0.8945,                0.94506,                0.92804,                0.96835,                0.87542,                0.49505,                0.36937,                0.87695,              0.0065818,              0.0065818,              0.0065818
                      3,                0.56418,                0.41857,                0.92979,                0.83595,                 0.8425,                0.91171,                0.76475,                0.64309,                0.65422,                0.94893,              0.0097833,              0.0097833,              0.0097833
                      4,                0.65239,                0.56414,                0.97293,                0.75001,                0.70117,                 0.7774,                0.57953,                0.90055,                 1.1834,                 1.1195,               0.009703,               0.009703,               0.009703
                      5,                0.67615,                0.56724,                0.98338,                0.80062,                0.77309,                0.83114,                0.64562,                0.90194,                0.82822,                 1.1265,               0.009604,               0.009604,               0.009604
                      6,                0.67226,                0.57453,                0.98057,                0.77118,                0.71987,                0.79505,                0.64727,                0.73456,                0.98035,                 1.0101,               0.009505,               0.009505,               0.009505
                      7,                0.67287,                0.55952,                0.98145,                0.88355,                0.86218,                0.93843,                0.78436,                 0.6522,                0.57755,                0.95549,               0.009406,               0.009406,               0.009406
                      8,                0.66711,                0.54887,                0.98056,                0.81935,                0.74783,                0.82736,                0.67697,                0.70034,                0.94037,                0.99844,               0.009307,               0.009307,               0.009307
                      9,                0.66023,                0.53381,                0.98132,                0.83064,                0.74276,                0.83276,                0.65057,                0.93002,                0.87952,                 1.1337,               0.009208,               0.009208,               0.009208
                     10,                0.65274,                0.52926,                0.97056,                0.90111,                0.84695,                0.93066,                0.76973,                0.68768,                0.59513,                0.97056,               0.009109,               0.009109,               0.009109
                     11,                0.65291,                0.52351,                0.97162,                0.86011,                 0.8102,                0.89688,                0.73118,                0.73043,                0.65854,                  1.009,                0.00901,                0.00901,                0.00901
