number_of_images,model,fold,mAP,folder
10,yolov8n,1,0.435,14_classes
10,yolov8n,2,0.97,14_classes
10,yolov8n,3,0.995,14_classes
10,yolov8n,4,0.995,14_classes
10,yolov8n,5,0.995,14_classes
10,yolov8s,1,0.417,14_classes
10,yolov8s,2,0.938,14_classes
10,yolov8s,3,0.989,14_classes
10,yolov8s,4,0.995,14_classes
10,yolov8s,5,0.995,14_classes
10,yolov8m,1,0.366,14_classes
10,yolov8m,2,0.734,14_classes
10,yolov8m,3,0.701,14_classes
10,yolov8m,4,0.753,14_classes
10,yolov8m,5,0.871,14_classes
10,yolov8l,1,0.244,14_classes
10,yolov8l,2,0.484,14_classes
10,yolov8l,3,0.722,14_classes
10,yolov8l,4,0.844,14_classes
10,yolov8l,5,0.906,14_classes
10,yolov8x,1,0.28,14_classes
10,yolov8x,2,0.499,14_classes
10,yolov8x,3,0.455,14_classes
10,yolov8x,4,0.604,14_classes
10,yolov8x,5,0.762,14_classes
20,yolov8n,1,0.613,14_classes
20,yolov8n,2,0.897,14_classes
20,yolov8n,3,0.842,14_classes
20,yolov8n,4,0.804,14_classes
20,yolov8n,5,0.83,14_classes
20,yolov8s,1,0.572,14_classes
20,yolov8s,2,0.777,14_classes
20,yolov8s,3,0.743,14_classes
20,yolov8s,4,0.888,14_classes
20,yolov8s,5,0.938,14_classes
20,yolov8m,1,0.516,14_classes
20,yolov8m,2,0.558,14_classes
20,yolov8m,3,0.898,14_classes
20,yolov8m,4,0.947,14_classes
20,yolov8m,5,0.959,14_classes
20,yolov8l,1,0.497,14_classes
20,yolov8l,2,0.57,14_classes
20,yolov8l,3,0.65,14_classes
20,yolov8l,4,0.676,14_classes
20,yolov8l,5,0.742,14_classes
20,yolov8x,1,0.426,14_classes
20,yolov8x,2,0.53,14_classes
20,yolov8x,3,0.682,14_classes
20,yolov8x,4,0.594,14_classes
20,yolov8x,5,0.701,14_classes
50,yolov8n,1,0.682,14_classes
50,yolov8n,2,0.739,14_classes
50,yolov8n,3,0.71,14_classes
50,yolov8n,4,0.801,14_classes
50,yolov8n,5,0.812,14_classes
50,yolov8s,1,0.646,14_classes
50,yolov8s,2,0.683,14_classes
50,yolov8s,3,0.67,14_classes
50,yolov8s,4,0.773,14_classes
50,yolov8s,5,0.853,14_classes
50,yolov8m,1,0.695,14_classes
50,yolov8m,2,0.78,14_classes
50,yolov8m,3,0.687,14_classes
50,yolov8m,4,0.824,14_classes
50,yolov8m,5,0.801,14_classes
50,yolov8l,1,0.438,14_classes
50,yolov8l,2,0.537,14_classes
50,yolov8l,3,0.512,14_classes
50,yolov8l,4,0.668,14_classes
50,yolov8l,5,0.661,14_classes
50,yolov8x,1,0.375,14_classes
50,yolov8x,2,0.463,14_classes
50,yolov8x,3,0.467,14_classes
50,yolov8x,4,0.503,14_classes
50,yolov8x,5,0.675,14_classes
100,yolov8n,1,0.794,14_classes
100,yolov8n,2,0.991,14_classes
100,yolov8n,3,0.979,14_classes
100,yolov8n,4,0.991,14_classes
100,yolov8n,5,0.984,14_classes
100,yolov8s,1,0.826,14_classes
100,yolov8s,2,0.966,14_classes
100,yolov8s,3,0.985,14_classes
100,yolov8s,4,0.986,14_classes
100,yolov8s,5,0.985,14_classes
100,yolov8m,1,0.692,14_classes
100,yolov8m,2,0.764,14_classes
100,yolov8m,3,0.834,14_classes
100,yolov8m,4,0.801,14_classes
100,yolov8m,5,0.827,14_classes
100,yolov8l,1,0.877,14_classes
100,yolov8l,2,0.989,14_classes
100,yolov8l,3,0.995,14_classes
100,yolov8l,4,0.995,14_classes
100,yolov8l,5,0.985,14_classes
100,yolov8x,1,0.869,14_classes
100,yolov8x,2,0.984,14_classes
100,yolov8x,3,0.994,14_classes
100,yolov8x,4,0.994,14_classes
100,yolov8x,5,0.988,14_classes
250,yolov8n,1,0.887,14_classes
250,yolov8n,2,0.847,14_classes
250,yolov8n,3,0.943,14_classes
250,yolov8n,4,0.928,14_classes
250,yolov8n,5,0.937,14_classes
250,yolov8s,1,0.897,14_classes
250,yolov8s,2,0.886,14_classes
250,yolov8s,3,0.943,14_classes
250,yolov8s,4,0.937,14_classes
250,yolov8s,5,0.939,14_classes
