,folder,number_of_images,model,mean,sd
0,10_classes_a,10.0,yolov8l,0.5374000000000001,0.11998041506846024
1,10_classes_a,10.0,yolov8m,0.8144,0.2418187337656039
2,10_classes_a,10.0,yolov8n,0.6123999999999999,0.254728875473512
3,10_classes_a,10.0,yolov8s,0.8535999999999999,0.2716133280971315
4,10_classes_a,10.0,yolov8x,0.5114,0.12895464318899102
5,10_classes_a,20.0,yolov8l,0.48599999999999993,0.08657366805212771
6,10_classes_a,20.0,yolov8m,0.7847999999999999,0.14286952089231625
7,10_classes_a,20.0,yolov8n,0.8282,0.14159519765867765
8,10_classes_a,20.0,yolov8s,0.8362,0.14753880845391157
9,10_classes_a,20.0,yolov8x,0.4508,0.09319173783120478
10,10_classes_a,50.0,yolov8l,0.44559999999999994,0.11056807857605194
11,10_classes_a,50.0,yolov8m,0.738,0.06524568951279462
12,10_classes_a,50.0,yolov8n,0.6834,0.04910498956317981
13,10_classes_a,50.0,yolov8s,0.8802,0.043390091034705175
14,10_classes_a,50.0,yolov8x,0.48119999999999996,0.14796181939946532
15,10_classes_a,100.0,yolov8l,0.952,0.06948740893140282
16,10_classes_a,100.0,yolov8m,0.7414,0.09185205495795945
17,10_classes_a,100.0,yolov8n,0.7304,0.04220544988505634
18,10_classes_a,100.0,yolov8s,0.808,0.06941901756723437
19,10_classes_a,100.0,yolov8x,0.8051999999999999,0.21772046297948205
20,10_classes_a,250.0,yolov8l,0.9026,0.014673104647619808
21,10_classes_a,250.0,yolov8m,0.9784,0.031012900541548805
22,10_classes_a,250.0,yolov8n,0.9763999999999999,0.031020960655659888
23,10_classes_a,250.0,yolov8s,0.9852000000000001,0.020801442257689692
24,10_classes_a,250.0,yolov8x,0.8624,0.021524404753674394
25,10_classes_a,500.0,yolov8l,0.9256,0.017615334229017628
26,10_classes_a,500.0,yolov8m,0.9692000000000001,0.008167006795638187
27,10_classes_a,500.0,yolov8n,0.9618,0.004604345773288566
28,10_classes_a,500.0,yolov8s,0.9692000000000001,0.010353743284435852
29,10_classes_a,500.0,yolov8x,0.8938,0.03488122704263721
30,10_classes_a,750.0,yolov8l,0.9298,0.015498387012847496
31,10_classes_a,750.0,yolov8m,0.978,0.007000000000000006
32,10_classes_a,750.0,yolov8n,0.9708,0.00481663783151692
33,10_classes_a,750.0,yolov8s,0.9788,0.00593295878967659
34,10_classes_a,750.0,yolov8x,0.992,0.0061644140029689974
35,10_classes_a,1000.0,yolov8l,0.9934,0.0035777087639996775
36,10_classes_a,1000.0,yolov8m,0.994,0.00223606797749984
37,10_classes_a,1000.0,yolov8n,0.9346,0.028316073174082544
38,10_classes_a,1000.0,yolov8s,0.9932000000000001,0.004024922359499643
39,10_classes_a,1000.0,yolov8x,0.9847999999999999,0.018660117898877275
40,10_classes_b,10.0,yolov8l,0.6666000000000001,0.20651828006256495
41,10_classes_b,10.0,yolov8m,0.8088000000000001,0.2761434409867452
42,10_classes_b,10.0,yolov8n,0.8512000000000001,0.2642133607522526
43,10_classes_b,10.0,yolov8s,0.835,0.2655400158168256
44,10_classes_b,10.0,yolov8x,0.721,0.2561318020082629
45,10_classes_b,20.0,yolov8l,0.569,0.10213471496019365
46,10_classes_b,20.0,yolov8m,0.7634000000000001,0.1052820022605953
47,10_classes_b,20.0,yolov8n,0.8535999999999999,0.17278686292655474
48,10_classes_b,20.0,yolov8s,0.7794000000000001,0.14417107893055386
49,10_classes_b,20.0,yolov8x,0.7556,0.08550029239716088
50,10_classes_b,50.0,yolov8l,0.49879999999999997,0.07320997199835552
