number_of_images,model,fold,class,mAP,augmented,keep
10,yolov8n,1,all,0.243,No,Yes
10,yolov8n,2,all,0.42,No,Yes
10,yolov8n,3,all,0.914,No,Yes
10,yolov8n,4,all,0.944,No,Yes
10,yolov8n,5,all,0.995,No,Yes
10,yolov8s,1,all,0.348,No,Yes
10,yolov8s,2,all,0.851,No,Yes
10,yolov8s,3,all,0.804,No,Yes
10,yolov8s,4,all,0.812,No,Yes
10,yolov8s,5,all,0.983,No,Yes
10,yolov8m,1,all,0.3,No,Yes
10,yolov8m,2,all,0.427,No,Yes
10,yolov8m,3,all,0.716,No,Yes
10,yolov8m,4,all,0.793,No,Yes
10,yolov8m,5,all,0.948,No,Yes
10,yolov8l,1,all,0.241,No,Yes
10,yolov8l,2,all,0.426,No,Yes
10,yolov8l,3,all,0.615,No,Yes
10,yolov8l,4,all,0.473,No,Yes
10,yolov8l,5,all,0.715,No,Yes
10,yolov8x,1,all,0.277,No,Yes
10,yolov8x,2,all,0.423,No,Yes
10,yolov8x,3,all,0.384,No,Yes
10,yolov8x,4,all,0.504,No,Yes
10,yolov8x,5,all,0.708,No,Yes
20,yolov8n,1,all,0.665,No,Yes
20,yolov8n,2,all,0.995,No,Yes
20,yolov8n,3,all,0.995,No,Yes
20,yolov8n,4,all,0.995,No,Yes
20,yolov8n,5,all,0.995,No,Yes
20,yolov8s,1,all,0.536,No,Yes
20,yolov8s,2,all,0.729,No,Yes
20,yolov8s,3,all,0.921,No,Yes
20,yolov8s,4,all,0.843,No,Yes
20,yolov8s,5,all,0.88,No,Yes
20,yolov8m,1,all,0.527,No,Yes
20,yolov8m,2,all,0.728,No,Yes
20,yolov8m,3,all,0.82,No,Yes
20,yolov8m,4,all,0.759,No,Yes
20,yolov8m,5,all,0.754,No,Yes
20,yolov8l,1,all,0.359,No,Yes
20,yolov8l,2,all,0.478,No,Yes
20,yolov8l,3,all,0.621,No,Yes
20,yolov8l,4,all,0.428,No,Yes
20,yolov8l,5,all,0.509,No,Yes
20,yolov8x,1,all,0.425,No,Yes
20,yolov8x,2,all,0.556,No,Yes
20,yolov8x,3,all,0.581,No,Yes
20,yolov8x,4,all,0.553,No,Yes
20,yolov8x,5,all,0.499,No,Yes
50,yolov8n,1,all,0.689,No,Yes
50,yolov8n,2,all,0.965,No,Yes
50,yolov8n,3,all,0.986,No,Yes
50,yolov8n,4,all,0.984,No,Yes
50,yolov8n,5,all,0.98,No,Yes
50,yolov8s,1,all,0.657,No,Yes
50,yolov8s,2,all,0.947,No,Yes
50,yolov8s,3,all,0.954,No,Yes
50,yolov8s,4,all,0.937,No,Yes
50,yolov8s,5,all,0.97,No,Yes
50,yolov8m,1,all,0.611,No,Yes
50,yolov8m,2,all,0.643,No,Yes
50,yolov8m,3,all,0.616,No,Yes
50,yolov8m,4,all,0.692,No,Yes
50,yolov8m,5,all,0.776,No,Yes
50,yolov8l,1,all,0.55,No,Yes
50,yolov8l,2,all,0.473,No,Yes
50,yolov8l,3,all,0.448,No,Yes
50,yolov8l,4,all,0.64,No,Yes
50,yolov8l,5,all,0.625,No,Yes
50,yolov8x,1,all,0.349,No,Yes
50,yolov8x,2,all,0.378,No,Yes
50,yolov8x,3,all,0.379,No,Yes
50,yolov8x,4,all,0.457,No,Yes
50,yolov8x,5,all,0.552,No,Yes
100,yolov8n,1,all,0.765,No,Yes
100,yolov8n,2,all,0.971,No,Yes
100,yolov8n,3,all,0.985,No,Yes
100,yolov8n,4,all,0.989,No,Yes
100,yolov8n,5,all,0.985,No,Yes
100,yolov8s,1,all,0.75,No,Yes
100,yolov8s,2,all,0.886,No,Yes
100,yolov8s,3,all,0.912,No,Yes
100,yolov8s,4,all,0.938,No,Yes
100,yolov8s,5,all,0.927,No,Yes
100,yolov8m,1,all,0.889,No,Yes
100,yolov8m,2,all,0.995,No,Yes
100,yolov8m,3,all,0.994,No,Yes
100,yolov8m,4,all,0.995,No,Yes
100,yolov8m,5,all,0.994,No,Yes
100,yolov8l,1,all,0.642,No,Yes
100,yolov8l,2,all,0.911,No,Yes
100,yolov8l,3,all,0.92,No,Yes
100,yolov8l,4,all,0.958,No,Yes
100,yolov8l,5,all,0.713,No,Yes
100,yolov8x,1,all,0.852,No,Yes
100,yolov8x,2,all,0.982,No,Yes
100,yolov8x,3,all,0.793,No,Yes
100,yolov8x,4,all,0.974,No,Yes
100,yolov8x,5,all,0.987,No,Yes
250,yolov8n,1,all,0.893,No,Yes
250,yolov8n,2,all,0.988,No,Yes
250,yolov8n,3,all,0.992,No,Yes
250,yolov8n,4,all,0.992,No,Yes
250,yolov8n,5,all,0.982,No,Yes
250,yolov8s,1,all,0.825,No,Yes
250,yolov8s,2,all,0.856,No,Yes
250,yolov8s,3,all,0.873,No,Yes
250,yolov8s,4,all,0.888,No,Yes
250,yolov8s,5,all,0.872,No,Yes
250,yolov8m,1,all,0.9,No,Yes
250,yolov8m,2,all,0.922,No,Yes
250,yolov8m,3,all,0.935,No,Yes
250,yolov8m,4,all,0.95,No,Yes
250,yolov8m,5,all,0.949,No,Yes
250,yolov8l,1,all,0.805,No,Yes
250,yolov8l,2,all,0.837,No,Yes
250,yolov8l,3,all,0.958,No,Yes
250,yolov8l,4,all,0.995,No,Yes
250,yolov8l,5,all,0.991,No,Yes
250,yolov8x,1,all,0.872,No,Yes
250,yolov8x,2,all,0.877,No,Yes
250,yolov8x,3,all,0.906,No,Yes
250,yolov8x,4,all,0.925,No,Yes
250,yolov8x,5,all,0.909,No,Yes
500,yolov8n,1,all,0.953,No,Yes
500,yolov8n,2,all,0.989,No,Yes
500,yolov8n,3,all,0.988,No,Yes
500,yolov8n,4,all,0.986,No,Yes
500,yolov8n,5,all,0.992,No,Yes
500,yolov8s,1,all,0.964,No,Yes
500,yolov8s,2,all,0.989,No,Yes
500,yolov8s,3,all,0.993,No,Yes
500,yolov8s,4,all,0.994,No,Yes
500,yolov8s,5,all,0.993,No,Yes
500,yolov8m,1,all,0.932,No,Yes
500,yolov8m,2,all,0.956,No,Yes
500,yolov8m,3,all,0.944,No,Yes
500,yolov8m,4,all,0.954,No,Yes
500,yolov8m,5,all,0.95,No,Yes
500,yolov8l,1,all,0.954,No,Yes
500,yolov8l,2,all,0.96,No,Yes
500,yolov8l,3,all,0.974,No,Yes
500,yolov8l,4,all,0.962,No,Yes
500,yolov8l,5,all,0.972,No,Yes
500,yolov8x,1,all,0.899,No,Yes
500,yolov8x,2,all,0.89,No,Yes
500,yolov8x,3,all,0.915,No,Yes
500,yolov8x,4,all,0.93,No,Yes
500,yolov8x,5,all,0.881,No,Yes
750,yolov8n,1,all,0.958,No,Yes
750,yolov8n,2,all,0.987,No,Yes
750,yolov8n,3,all,0.985,No,Yes
750,yolov8n,4,all,0.98,No,Yes
750,yolov8n,5,all,0.983,No,Yes
750,yolov8s,1,all,0.98,No,Yes
750,yolov8s,2,all,0.981,No,Yes
750,yolov8s,3,all,0.972,No,Yes
750,yolov8s,4,all,0.984,No,Yes
750,yolov8s,5,all,0.99,No,Yes
750,yolov8m,1,all,0.945,No,Yes
750,yolov8m,2,all,0.951,No,Yes
750,yolov8m,3,all,0.981,No,Yes
750,yolov8m,4,all,0.995,No,Yes
750,yolov8m,5,all,0.995,No,Yes
750,yolov8l,1,all,0.984,No,Yes
750,yolov8l,2,all,0.995,No,Yes
750,yolov8l,3,all,0.994,No,Yes
750,yolov8l,4,all,0.995,No,Yes
750,yolov8l,5,all,0.995,No,Yes
750,yolov8x,1,all,0.983,No,Yes
750,yolov8x,2,all,0.995,No,Yes
750,yolov8x,3,all,0.994,No,Yes
750,yolov8x,4,all,0.993,No,Yes
750,yolov8x,5,all,0.995,No,Yes
1000,yolov8n,1,all,0.977,No,Yes
1000,yolov8n,2,all,0.977,No,Yes
1000,yolov8n,3,all,0.983,No,Yes
1000,yolov8n,4,all,0.976,No,Yes
1000,yolov8n,5,all,0.982,No,Yes
1000,yolov8s,1,all,0.987,No,Yes
1000,yolov8s,2,all,0.995,No,Yes
1000,yolov8s,3,all,0.994,No,Yes
1000,yolov8s,4,all,0.995,No,Yes
1000,yolov8s,5,all,0.995,No,Yes
1000,yolov8m,1,all,0.989,No,Yes
1000,yolov8m,2,all,0.995,No,Yes
1000,yolov8m,3,all,0.995,No,Yes
1000,yolov8m,4,all,0.995,No,Yes
1000,yolov8m,5,all,0.995,No,Yes
1000,yolov8l,1,all,0.988,No,Yes
1000,yolov8l,2,all,0.994,No,Yes
1000,yolov8l,3,all,0.994,No,Yes
1000,yolov8l,4,all,0.995,No,Yes
1000,yolov8l,5,all,0.995,No,Yes
1000,yolov8x,1,all,0.989,No,Yes
1000,yolov8x,2,all,0.995,No,Yes
1000,yolov8x,3,all,0.994,No,Yes
1000,yolov8x,4,all,0.995,No,Yes
1000,yolov8x,5,all,0.995,No,Yes
10,yolov8n,1,all,0.194,Yes,No
10,yolov8n,2,all,0.61,Yes,No
10,yolov8n,3,all,0.758,Yes,No
10,yolov8n,4,all,0.76,Yes,No
10,yolov8n,5,all,0.72,Yes,No
10,yolov8s,1,all,0.246,Yes,No
10,yolov8s,2,all,0.67,Yes,No
10,yolov8s,3,all,0.821,Yes,No
10,yolov8s,4,all,0.828,Yes,No
10,yolov8s,5,all,0.813,Yes,No
10,yolov8m,1,all,0.357,Yes,No
10,yolov8m,2,all,0.641,Yes,No
10,yolov8m,3,all,0.862,Yes,No
10,yolov8m,4,all,0.879,Yes,No
10,yolov8m,5,all,0.765,Yes,No
10,yolov8l,1,all,0.233,Yes,No
10,yolov8l,2,all,0.37,Yes,No
10,yolov8l,3,all,0.563,Yes,No
10,yolov8l,4,all,0.634,Yes,No
10,yolov8l,5,all,0.551,Yes,No
10,yolov8x,1,all,0.231,Yes,No
10,yolov8x,2,all,0.477,Yes,No
10,yolov8x,3,all,0.692,Yes,No
