                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1781,                 3.5954,                 1.2771,                0.38145,                0.42539,                 0.3393,                0.23367,                 1.1519,                 3.1535,                 1.2947,              0.0033121,              0.0033121,              0.0033121
                      2,                 1.0683,                 2.2906,                 1.1651,                0.60254,                0.48007,                0.52234,                0.33978,                 1.1228,                 2.7126,                 1.2403,              0.0065796,              0.0065796,              0.0065796
                      3,                 1.1373,                 1.9278,                  1.195,                0.42867,                0.28555,                0.27954,                0.15403,                 1.6461,                 3.1301,                 1.5423,              0.0097812,              0.0097812,              0.0097812
                      4,                 1.2186,                 1.7021,                  1.234,                0.52006,                0.38485,                0.40306,                0.22129,                 1.6204,                 2.7123,                 1.5966,               0.009703,               0.009703,               0.009703
                      5,                 1.1657,                 1.4442,                 1.2039,                0.51591,                 0.5374,                0.50301,                0.31072,                 1.4135,                 2.7835,                 1.4698,               0.009703,               0.009703,               0.009703
                      6,                 1.1055,                  1.287,                 1.1741,                0.60334,                0.51843,                0.55021,                0.35253,                 1.2798,                 1.8008,                 1.3003,               0.009604,               0.009604,               0.009604
                      7,                 1.0647,                 1.1822,                 1.1569,                0.63774,                0.65383,                 0.6812,                  0.469,                 1.0645,                 1.5708,                 1.1566,               0.009505,               0.009505,               0.009505
                      8,                 1.0262,                  1.108,                 1.1392,                0.71496,                0.66374,                0.70997,                0.49199,                 1.1765,                 1.3943,                 1.2638,               0.009406,               0.009406,               0.009406
                      9,                 1.0049,                 1.0565,                 1.1318,                0.75645,                0.68882,                0.78153,                 0.5429,                 1.0477,                 1.1295,                  1.147,               0.009307,               0.009307,               0.009307
                     10,                0.99639,                 1.0192,                 1.1258,                0.83844,                 0.7957,                0.87534,                0.65198,                0.90398,                0.85919,                 1.0781,               0.009208,               0.009208,               0.009208
                     11,                0.97063,                0.98374,                 1.1152,                0.75917,                0.69095,                 0.7852,                0.57517,                 0.9746,                 1.2269,                 1.1173,               0.009109,               0.009109,               0.009109
                     12,                0.95767,                0.95925,                 1.1063,                0.84283,                0.80415,                  0.882,                 0.6602,                0.89206,                0.81631,                 1.0543,                0.00901,                0.00901,                0.00901
                     13,                0.93026,                0.92012,                 1.0957,                0.81311,                0.79565,                0.86886,                0.66249,                0.82334,                0.83488,                 1.0306,               0.008911,               0.008911,               0.008911
                     14,                0.92578,                0.89821,                 1.0893,                0.85148,                0.83873,                 0.8994,                0.69066,                0.86898,                0.75953,                 1.0566,               0.008812,               0.008812,               0.008812
                     15,                0.90095,                 0.8667,                  1.079,                 0.8395,                 0.7687,                0.85329,                0.64747,                0.91134,                0.87472,                 1.1053,               0.008713,               0.008713,               0.008713
                     16,                0.90179,                0.85413,                 1.0805,                0.82953,                0.78157,                 0.8567,                0.66867,                0.82883,                0.87138,                  1.028,               0.008614,               0.008614,               0.008614
                     17,                0.89286,                0.83006,                 1.0791,                0.83812,                0.80073,                0.88792,                0.69146,                0.80928,                0.79298,                 1.0103,               0.008515,               0.008515,               0.008515
                     18,                0.88883,                0.82584,                 1.0748,                0.87067,                 0.8742,                0.93043,                0.75022,                0.72479,                0.62849,                 0.9817,               0.008416,               0.008416,               0.008416
                     19,                0.86975,                0.81432,                  1.066,                0.90273,                0.85461,                0.92927,                0.75933,                0.70337,                0.63408,                 0.9675,               0.008317,               0.008317,               0.008317
                     20,                0.86156,                 0.7839,                 1.0581,                0.87078,                  0.817,                0.90172,                0.70462,                 0.8215,                0.70548,                 1.0258,               0.008218,               0.008218,               0.008218
                     21,                0.85767,                0.77233,                 1.0583,                0.85261,                0.77323,                0.84011,                0.63542,                 0.9863,                0.84851,                 1.1432,               0.008119,               0.008119,               0.008119
                     22,                0.85086,                0.76566,                 1.0605,                0.87856,                0.86723,                0.92729,                0.74034,                0.76731,                0.64542,                 0.9959,                0.00802,                0.00802,                0.00802
                     23,                0.84461,                0.75314,                 1.0527,                0.81763,                0.76075,                  0.807,                0.59124,                 1.1021,                0.87075,                 1.2521,               0.007921,               0.007921,               0.007921
                     24,                0.83726,                0.75414,                 1.0484,                0.89225,                0.86747,                0.93141,                0.75708,                0.70252,                0.61574,                0.96666,               0.007822,               0.007822,               0.007822
